"congress_names","no_of_days","total_bills_filed","national_bills","local_bills","authored_bills","co_authored_bills","enacted_bills","national_bills_prop","local_bills_prop","authored_bills_prop","co_authored_bills_prop","enacted_bills_prop"
"FERRER, JEFFREY P.",25,22,20,2,1,21,6,0.909090909090909,0.0909090909090909,0.0454545454545455,0.954545454545455,0.272727272727273
"FERRER, LUIS IV A.",59,67,59,8,8,59,13,0.880597014925373,0.119402985074627,0.119402985074627,0.880597014925373,0.194029850746269
"FERRIOL, ABIGAIL FAYE C.",16,17,17,0,7,10,0,1,0,0.411764705882353,0.588235294117647,0
"FLORES, FLORENCIO JR. T.",52,72,58,14,7,65,12,0.805555555555556,0.194444444444444,0.0972222222222222,0.902777777777778,0.166666666666667
"FORTUN, LAWRENCE LEMUEL H.",82,108,82,26,22,86,14,0.759259259259259,0.240740740740741,0.203703703703704,0.796296296296296,0.12962962962963
"FORTUNO, SALVIO B.",81,83,74,9,19,64,17,0.891566265060241,0.108433734939759,0.228915662650602,0.771084337349398,0.204819277108434
"FUENTEBELLA, FELIX WILLIAM B.",56,52,37,15,25,26,11,0.711538461538462,0.288461538461538,0.480769230769231,0.5,0.211538461538462
"GARAY, FLORENCIO C.",60,76,43,33,36,40,8,0.565789473684211,0.434210526315789,0.473684210526316,0.526315789473684,0.105263157894737
"GARCIA, ENRIQUE JR. T.",11,8,5,3,2,6,4,0.625,0.375,0.25,0.75,0.5
"GARCIA, GWENDOLYN F.",127,141,120,21,24,117,20,0.851063829787234,0.148936170212766,0.170212765957447,0.829787234042553,0.141843971631206
"GARCIA-ALBANO, MYLENE J.",40,37,29,8,7,30,10,0.783783783783784,0.216216216216216,0.189189189189189,0.810810810810811,0.27027027027027
"GARIN, OSCAR ""RICHARD"" JR.",46,62,42,20,25,37,12,0.67741935483871,0.32258064516129,0.403225806451613,0.596774193548387,0.193548387096774
"GARIN, SHARON S.",71,76,71,5,17,58,17,0.934210526315789,0.0657894736842105,0.223684210526316,0.763157894736842,0.223684210526316
"GATCHALIAN, SHERWIN T.",111,135,122,13,61,74,16,0.903703703703704,0.0962962962962963,0.451851851851852,0.548148148148148,0.118518518518519
