"congress_names","no_of_days","total_bills_filed","national_bills","local_bills","authored_bills","co_authored_bills","enacted_bills","national_bills_prop","local_bills_prop","authored_bills_prop","co_authored_bills_prop","enacted_bills_prop"
"ROMUALDO, XAVIER JESUS ""XJ"" D.",99,198,178,20,41,157,,0.898989898989899,0.101010101010101,0.207070707070707,0.792929292929293,
"ROMULO, ROMAN T.",131,143,111,33,50,93,30,0.776223776223776,0.230769230769231,0.34965034965035,0.65034965034965,0.20979020979021
"ROQUE, ROGELIO NEIL P.",46,43,26,17,10,33,4,0.604651162790698,0.395348837209302,0.232558139534884,0.767441860465116,0.0930232558139535
"SACDALAN, JESUS N.",58,59,49,10,3,56,8,0.830508474576271,0.169491525423729,0.0508474576271186,0.949152542372881,0.135593220338983
"SAHALI, RUBY M.",41,62,44,18,15,47,8,0.709677419354839,0.290322580645161,0.241935483870968,0.758064516129032,0.129032258064516
"SAKALURAN, RADEN C.",39,43,23,20,10,33,5,0.534883720930233,0.465116279069767,0.232558139534884,0.767441860465116,0.116279069767442
"SALIMBANGON, BENHUR L.",79,100,58,42,34,66,9,0.58,0.42,0.34,0.66,0.09
"SALVACION, ANDRES D.",71,81,68,13,10,71,25,0.839506172839506,0.160493827160494,0.123456790123457,0.876543209876543,0.308641975308642
"SANTIAGO, ERLINDA M.",53,81,71,10,25,56,,0.876543209876543,0.123456790123457,0.308641975308642,0.691358024691358,
"SARMIENTO, CESAR V.",109,141,79,62,41,100,42,0.560283687943262,0.439716312056738,0.290780141843972,0.709219858156028,0.297872340425532
"SARMIENTO, MEL SENEN S.",66,68,61,7,16,51,15,0.897058823529412,0.102941176470588,0.235294117647059,0.75,0.220588235294118
"SATO, JOSEPHINE R.",72,81,62,19,24,57,17,0.765432098765432,0.234567901234568,0.296296296296296,0.703703703703704,0.209876543209877
"SEMA, BAI SANDRA A.",37,36,24,12,8,28,15,0.666666666666667,0.333333333333333,0.222222222222222,0.777777777777778,0.416666666666667
"SEÑERES, ROY V.",79,82,72,10,20,62,8,0.878048780487805,0.121951219512195,0.24390243902439,0.75609756097561,0.0975609756097561
"SINGSON, ERIC D.",43,46,38,7,15,31,24,0.826086956521739,0.152173913043478,0.326086956521739,0.673913043478261,0.521739130434783
"SINGSON, RONALD V.",40,38,26,12,19,19,9,0.684210526315789,0.315789473684211,0.5,0.5,0.236842105263158
"SUANSING, GING",95,188,163,25,58,129,38,0.867021276595745,0.132978723404255,0.308510638297872,0.686170212765957,0.202127659574468
"SUAREZ, ALETA C.",66,52,43,9,13,39,7,0.826923076923077,0.173076923076923,0.25,0.75,0.134615384615385
"SY-ALVARADO, MA. VICTORIA R.",106,143,130,12,27,115,24,0.909090909090909,0.0839160839160839,0.188811188811189,0.804195804195804,0.167832167832168
"TAMBUNTING, GUS S.",69,191,178,13,40,151,,0.931937172774869,0.0680628272251309,0.209424083769634,0.790575916230366,
"TAN, ANGELINA ""HELEN"" D.L. M.D.",48,143,129,12,34,108,,0.902097902097902,0.0839160839160839,0.237762237762238,0.755244755244755,
"TAN, MILAGROSA 'MILA' T.",14,14,13,1,0,14,2,0.928571428571429,0.0714285714285714,0,1,0.142857142857143
"TEJADA, JOSE I.",109,132,118,14,12,120,26,0.893939393939394,0.106060606060606,0.0909090909090909,0.909090909090909,0.196969696969697
"TEODORO, MARCELINO R.",59,181,165,15,127,54,36,0.911602209944751,0.0828729281767956,0.701657458563536,0.298342541436464,0.198895027624309
"TEVES, PRYDE HENRY A.",68,70,59,10,19,49,14,0.842857142857143,0.142857142857143,0.271428571428571,0.7,0.2
"TIANGCO, TOBIAS ""TOBY"" M.",46,44,27,17,21,23,9,0.613636363636364,0.386363636363636,0.477272727272727,0.522727272727273,0.204545454545455
"TIENG, IRWIN C.",28,54,54,0,26,28,2,1,0,0.481481481481481,0.518518518518518,0.037037037037037
"TING, RANDOLPH S.",67,73,61,11,10,63,30,0.835616438356164,0.150684931506849,0.136986301369863,0.863013698630137,0.410958904109589
"TINIO, ANTONIO L.",88,142,137,5,27,115,,0.964788732394366,0.0352112676056338,0.190140845070423,0.809859154929577,
"TOLENTINO, ABRAHAM ""BAMBOL"" N.",53,58,48,10,9,49,18,0.827586206896552,0.172413793103448,0.155172413793103,0.844827586206897,0.310344827586207
"TREÑAS, JERRY P.",77,88,55,33,52,36,25,0.625,0.375,0.590909090909091,0.409090909090909,0.284090909090909
"TUGNA, SHERWIN N.",68,67,65,2,7,60,11,0.970149253731343,0.0298507462686567,0.104477611940299,0.895522388059702,0.164179104477612
"TUPAS, NEIL JR C.",74,89,79,9,21,68,36,0.887640449438202,0.101123595505618,0.235955056179775,0.764044943820225,0.404494382022472
"TURABIN-HATAMAN, SITTI DJALIA A.",51,59,56,3,9,50,5,0.949152542372881,0.0508474576271186,0.152542372881356,0.847457627118644,0.0847457627118644
"TY, ARNEL U.",44,47,45,2,2,45,11,0.957446808510638,0.0425531914893617,0.0425531914893617,0.957446808510638,0.234042553191489
"UMALI, CZARINA D.",26,38,33,5,8,30,12,0.868421052631579,0.131578947368421,0.210526315789474,0.789473684210526,0.315789473684211
"UMALI, REYNALDO V.",51,60,47,12,35,24,9,0.783333333333333,0.2,0.583333333333333,0.4,0.15
"UNABIA, PETER ""SR. PEDRO"" M.",47,61,49,12,13,48,10,0.80327868852459,0.19672131147541,0.213114754098361,0.786885245901639,0.163934426229508
"UNGAB, ISIDRO T.",94,181,99,81,7,172,,0.546961325966851,0.447513812154696,0.0386740331491713,0.950276243093923,
"UY, JULIETTE T.",101,141,91,50,42,99,,0.645390070921986,0.354609929078014,0.297872340425532,0.702127659574468,
"UY, ROLANDO ""KLAREX"" A.",38,48,37,11,8,40,7,0.770833333333333,0.229166666666667,0.166666666666667,0.833333333333333,0.145833333333333
"VARGAS, ALFREDO III D.",106,181,152,29,104,77,21,0.839779005524862,0.160220994475138,0.574585635359116,0.425414364640884,0.116022099447514
"VARGAS-ALFONSO, BABY ALINE",24,32,18,14,11,21,2,0.5625,0.4375,0.34375,0.65625,0.0625
"VELARDE, MARIANO MICHAEL JR. M.",38,68,67,1,26,42,6,0.985294117647059,0.0147058823529412,0.382352941176471,0.617647058823529,0.0882352941176471
"VELASCO, LORNA Q.",37,57,52,5,12,45,3,0.912280701754386,0.087719298245614,0.210526315789474,0.789473684210526,0.0526315789473684
"VILLANUEVA, NOEL L.",80,88,78,10,7,81,9,0.886363636363636,0.113636363636364,0.0795454545454545,0.920454545454545,0.102272727272727
"VILLAR, MARK A.",109,173,169,4,91,81,,0.976878612716763,0.023121387283237,0.526011560693642,0.468208092485549,
"VILLARICA, LINABELLE RUTH R.",90,114,103,12,46,68,23,0.903508771929825,0.105263157894737,0.403508771929825,0.596491228070175,0.201754385964912
"VIOLAGO, JOSEPH GILBERT F.",86,116,100,16,49,67,38,0.862068965517241,0.137931034482759,0.422413793103448,0.577586206896552,0.327586206896552
"YAP, ARTHUR CUA",64,91,82,9,48,43,22,0.901098901098901,0.0989010989010989,0.527472527472527,0.472527472527473,0.241758241758242
"YAP, SUSAN A.",96,171,152,19,78,93,46,0.888888888888889,0.111111111111111,0.456140350877193,0.543859649122807,0.269005847953216
"YU, VICTOR JO",72,79,57,22,26,53,28,0.721518987341772,0.278481012658228,0.329113924050633,0.670886075949367,0.354430379746835
"ZAMORA, MARIA CARMEN S.",51,75,56,19,24,51,16,0.746666666666667,0.253333333333333,0.32,0.68,0.213333333333333
"ZAMORA, RONALDO B.",120,62,41,21,2,60,13,0.661290322580645,0.338709677419355,0.032258064516129,0.967741935483871,0.209677419354839
"ZARATE, CARLOS ISAGANI T.",73,183,167,15,21,161,,0.912568306010929,0.0819672131147541,0.114754098360656,0.879781420765027,
"ZUBIRI, JOSE III F.",20,13,11,2,4,9,1,0.846153846153846,0.153846153846154,0.307692307692308,0.692307692307692,0.0769230769230769
